,Original JPG,Binary PNG,IoU,Recall
2361,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 16.png,0.15856182100362132,0.539612676056338
2362,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 17.png,0.18376584188292094,0.5612903225806452
2363,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 15.png,0.12374207976146105,0.5891748003549245
2364,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 12.png,0.0,0.0
2365,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 04.png,0.15175394001016776,0.5422343324250681
2366,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 02.png,0.12345415778251599,0.5498575498575499
2367,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 09.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 09.png,0.0,0.0
2368,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 19.png,0.10224695938981654,0.499496475327291
2369,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4 (3-19-2018 10-22-33 AM)/4 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/4.1/4 13.png,0.10899470899470899,0.46354635463546356
2370,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 18.png,0.12677697506408764,0.5631469979296067
2371,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 21.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 21.png,0.10513555212695613,0.5408163265306123
2372,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 17.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 17.png,0.16512992455993294,0.5782778864970646
2373,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 10.png,0.0,0.0
2374,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 20.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 20.png,0.11203226529240422,0.5382131324004306
2375,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 22.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 22.png,0.11154020899591095,0.5061855670103093
2376,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 04.png,0.1033982594280978,0.5856807511737089
2377,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9 (3-19-2018 10-22-49 AM)/9 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Binh/9/9.1/9 08.png,0.0,0.0
