,Original JPG,Binary PNG,IoU,Recall
25,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 11.png,0.0,0.0
26,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 01.png,0.0,0.0
27,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 15.png,0.0,0.0
29,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 19.png,0.6465863453815262,0.3169291338582677
30,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 03.png,0.0,0.0
31,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 02.png,0.6439499304589708,0.4936034115138593
32,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 16.png,0.0,0.0
33,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 06.png,0.0,0.0
34,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 05.png,0.0,0.0
35,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 12.png,0.0,0.0
36,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 07.png,0.5814220183486238,0.5439914163090128
37,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 08.png,0.5814220183486238,0.5439914163090128
38,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 18.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 18.png,0.0,0.0
39,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 14.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 14.png,0.7027027027027027,0.3862857142857143
40,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 13.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 13.png,0.0,0.0
42,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 02.png,0.0,0.0
43,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 05.png,0.0,0.0
44,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 11.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 11.png,0.515527950310559,0.32741617357001973
45,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 01.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 01.png,0.0,0.0
46,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 10.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 10.png,0.0,0.0
47,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 03.png,0.0,0.0
48,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 04.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 04.png,0.0,0.0
50,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 12.png,0.6404109589041096,0.38477366255144035
51,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2 (3-23-2018 1-44-37 PM)/2 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/2.1/2 06.png,0.0,0.0
53,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 02.png,0.0,0.0
54,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5 (3-23-2018 1-44-43 PM)/5 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/5.1/5 07.png,0.0,0.0
