,Original JPG,Binary PNG,IoU,Recall
27,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 15.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 15.png,0.0,0.0
29,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 19.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 19.png,0.23227848101265822,0.3612204724409449
30,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 03.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 03.png,0.3172531214528944,0.603671706263499
31,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 02.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 02.png,0.2881448957189901,0.5597014925373134
32,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 16.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 16.png,0.0017421602787456446,0.0027137042062415195
33,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 06.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 06.png,0.3155963302752294,0.5602605863192183
34,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 05.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 05.png,0.30701200252684774,0.5197860962566845
35,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 12.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 12.png,0.0,0.0
36,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 07.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 07.png,0.30722222222222223,0.5933476394849786
37,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1 (3-23-2018 1-44-35 PM)/1 08.jpg,/home/tien/OpenCV/Skin/Data/SegmentedData/Hung/2/1.1/1 08.png,0.30722222222222223,0.5933476394849786
